ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
10,Sergio Ramos,31,https://cdn.sofifa.org/48/18/players/155862.png,Spain,https://cdn.sofifa.org/flags/45.png,90,90,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€52M,€310K,2153,75,84,79,60,84,80,66,73,61,60,67,11,8,9,7,11,91,88,93,72,55,86,68,52,85,78,79,91,77,84,89,81,63,66,70.0,87.0,83.0,70.0,74.0,155862,70.0,84.0,87.0,74.0,83.0,70.0,71.0,72.0,69.0,81.0,CB ,70.0,84.0,87.0,74.0,83.0,70.0,71.0,72.0,69.0,81.0,72.0
11,K. De Bruyne,26,https://cdn.sofifa.org/48/18/players/192985.png,Belgium,https://cdn.sofifa.org/flags/7.png,89,92,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,€83M,€285K,2162,76,68,80,75,87,84,90,83,85,83,83,15,13,5,10,13,53,56,65,84,86,30,77,84,88,90,85,40,75,87,51,73,90,82,86.0,57.0,70.0,85.0,84.0,192985,86.0,66.0,57.0,84.0,70.0,85.0,85.0,81.0,85.0,71.0,RM CM CAM ,86.0,66.0,57.0,84.0,70.0,85.0,85.0,81.0,85.0,71.0,81.0
12,T. Courtois,25,https://cdn.sofifa.org/48/18/players/192119.png,Belgium,https://cdn.sofifa.org/flags/7.png,89,92,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,€59M,€190K,1282,46,23,61,45,23,52,14,19,13,14,11,85,91,69,86,88,13,15,68,31,17,11,27,13,81,32,36,16,52,38,18,70,44,12,,,,,,192119,,,,,,,,,,,GK ,,,,,,,,,,,
13,A. Sánchez,28,https://cdn.sofifa.org/48/18/players/184941.png,Chile,https://cdn.sofifa.org/flags/55.png,89,89,Arsenal,https://cdn.sofifa.org/24/18/teams/1.png,€67.5M,€265K,2181,88,80,90,87,87,86,80,78,90,85,78,10,10,15,12,13,70,42,85,73,82,30,77,86,87,81,84,35,84,85,39,72,83,83,85.0,56.0,64.0,85.0,79.0,184941,85.0,62.0,56.0,79.0,64.0,85.0,85.0,83.0,86.0,66.0,RM LW ST LM ,85.0,62.0,56.0,79.0,64.0,85.0,85.0,83.0,86.0,66.0,83.0
14,L. Modri?,31,https://cdn.sofifa.org/48/18/players/177003.png,Croatia,https://cdn.sofifa.org/flags/10.png,89,89,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€57M,€340K,2228,75,62,93,94,92,84,78,79,86,71,77,13,9,7,14,9,55,76,67,83,82,66,80,79,88,92,73,73,71,82,80,58,90,74,86.0,72.0,80.0,83.0,86.0,177003,86.0,78.0,72.0,86.0,80.0,83.0,84.0,76.0,83.0,80.0,CDM CM ,86.0,78.0,72.0,86.0,80.0,83.0,84.0,76.0,83.0,80.0,76.0
15,G. Bale,27,https://cdn.sofifa.org/48/18/players/173731.png,Wales,https://cdn.sofifa.org/flags/50.png,89,89,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€69.5M,€370K,2263,93,65,77,65,87,85,87,86,89,87,85,15,15,11,5,6,86,59,85,80,90,51,76,86,87,86,91,52,95,76,55,80,79,76,86.0,67.0,71.0,87.0,81.0,173731,86.0,72.0,67.0,81.0,71.0,87.0,87.0,87.0,87.0,74.0,RW ,86.0,72.0,67.0,81.0,71.0,87.0,87.0,87.0,87.0,74.0,87.0
16,S. Agüero,29,https://cdn.sofifa.org/48/18/players/153079.png,Argentina,https://cdn.sofifa.org/flags/52.png,89,89,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,€66.5M,€325K,2074,90,63,86,91,89,90,70,82,89,90,72,13,15,6,11,14,68,24,80,63,83,13,83,91,89,79,88,12,84,74,20,74,83,85,85.0,44.0,54.0,87.0,75.0,153079,85.0,52.0,44.0,75.0,54.0,87.0,84.0,86.0,86.0,57.0,ST ,85.0,52.0,44.0,75.0,54.0,87.0,84.0,86.0,86.0,57.0,86.0
17,G. Chiellini,32,https://cdn.sofifa.org/48/18/players/138956.png,Italy,https://cdn.sofifa.org/flags/27.png,89,89,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,€38M,€225K,1867,68,92,59,64,57,82,58,60,58,33,31,3,3,2,4,3,84,88,89,59,49,92,50,28,82,59,78,90,78,68,92,91,50,45,55.0,86.0,76.0,55.0,60.0,138956,55.0,78.0,86.0,60.0,76.0,55.0,58.0,59.0,56.0,75.0,CB ,55.0,78.0,86.0,60.0,76.0,55.0,58.0,59.0,56.0,75.0,59.0
18,G. Buffon,39,https://cdn.sofifa.org/48/18/players/1179.png,Italy,https://cdn.sofifa.org/flags/27.png,89,89,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,€4.5M,€110K,1335,49,38,55,49,28,70,13,20,26,15,13,89,88,74,90,84,13,28,75,35,13,10,22,12,80,37,39,11,43,39,11,69,50,17,,,,,,1179,,,,,,,,,,,GK ,,,,,,,,,,,
19,P. Dybala,23,https://cdn.sofifa.org/48/18/players/211110.png,Argentina,https://cdn.sofifa.org/flags/52.png,88,93,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,€79M,€215K,2063,88,48,91,85,93,84,80,88,92,85,84,5,4,4,5,8,68,24,75,71,88,14,86,84,84,83,82,20,84,83,20,65,84,88,86.0,43.0,55.0,86.0,78.0,211110,86.0,55.0,43.0,78.0,55.0,86.0,86.0,83.0,87.0,60.0,ST CAM ,86.0,55.0,43.0,78.0,55.0,86.0,86.0,83.0,87.0,60.0,83.0
20,J. Oblak,24,https://cdn.sofifa.org/48/18/players/200389.png,Slovenia,https://cdn.sofifa.org/flags/44.png,88,93,Atlético Madrid,https://cdn.sofifa.org/24/18/teams/240.png,€57M,€82K,1290,43,34,67,49,16,55,13,13,12,11,14,84,90,77,87,84,15,19,76,26,12,14,11,11,84,29,22,18,60,41,12,78,55,13,,,,,,200389,,,,,,,,,,,GK ,,,,,,,,,,,
21,A. Griezmann,26,https://cdn.sofifa.org/48/18/players/194765.png,France,https://cdn.sofifa.org/flags/18.png,88,91,Atlético Madrid,https://cdn.sofifa.org/24/18/teams/240.png,€75M,€150K,2104,87,69,90,80,86,86,82,84,87,88,75,14,8,14,13,14,80,35,87,75,82,23,71,91,90,79,81,11,86,76,22,61,76,87,84.0,48.0,57.0,85.0,76.0,194765,84.0,56.0,48.0,76.0,57.0,85.0,84.0,85.0,86.0,60.0,LW RW ST ,84.0,56.0,48.0,76.0,57.0,85.0,84.0,85.0,86.0,60.0,85.0
22,Thiago,26,https://cdn.sofifa.org/48/18/players/189509.png,Spain,https://cdn.sofifa.org/flags/45.png,88,90,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€70.5M,€225K,2185,77,57,90,86,92,83,72,85,90,69,77,6,11,7,9,13,58,78,75,90,82,49,75,83,84,91,75,62,68,75,64,59,86,90,86.0,66.0,76.0,83.0,85.0,189509,86.0,72.0,66.0,85.0,76.0,83.0,83.0,77.0,83.0,75.0,CDM CAM CM ,86.0,72.0,66.0,85.0,76.0,83.0,83.0,77.0,83.0,75.0,77.0
23,P. Aubameyang,28,https://cdn.sofifa.org/48/18/players/188567.png,Gabon,https://cdn.sofifa.org/flags/115.png,88,88,Borussia Dortmund,https://cdn.sofifa.org/24/18/teams/22.png,€61M,€165K,2078,95,43,77,70,82,84,77,78,82,88,74,6,9,15,9,9,79,48,77,64,79,28,79,89,87,77,81,36,96,79,25,77,77,86,82.0,52.0,59.0,84.0,74.0,188567,82.0,62.0,52.0,74.0,59.0,84.0,83.0,85.0,84.0,65.0,ST ,82.0,62.0,52.0,74.0,59.0,84.0,83.0,85.0,84.0,65.0,85.0
24,L. Bonucci,30,https://cdn.sofifa.org/48/18/players/184344.png,Italy,https://cdn.sofifa.org/flags/27.png,88,88,Milan,https://cdn.sofifa.org/24/18/teams/47.png,€44M,€210K,1995,62,82,60,52,75,84,44,56,69,39,61,2,2,3,2,4,88,90,85,85,65,84,70,38,86,79,74,88,72,73,88,85,74,58,68.0,86.0,83.0,66.0,75.0,184344,68.0,79.0,86.0,75.0,83.0,66.0,66.0,65.0,63.0,76.0,CB ,68.0,79.0,86.0,75.0,83.0,66.0,66.0,65.0,63.0,76.0,65.0
25,J. Boateng,28,https://cdn.sofifa.org/48/18/players/183907.png,Germany,https://cdn.sofifa.org/flags/21.png,88,88,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€48M,€215K,1989,72,82,58,53,71,86,69,56,67,34,31,7,12,15,6,5,85,83,75,80,58,88,46,47,82,75,79,90,78,74,91,91,76,53,67.0,85.0,82.0,66.0,73.0,183907,67.0,81.0,85.0,73.0,82.0,66.0,69.0,65.0,65.0,79.0,CB ,67.0,81.0,85.0,73.0,82.0,66.0,69.0,65.0,65.0,79.0,65.0
26,D. Godín,31,https://cdn.sofifa.org/48/18/players/182493.png,Uruguay,https://cdn.sofifa.org/flags/60.png,88,88,Atlético Madrid,https://cdn.sofifa.org/24/18/teams/240.png,€40M,€125K,1930,62,86,63,58,76,82,55,49,53,42,51,6,8,15,5,15,92,88,89,70,43,87,50,48,85,79,67,89,67,67,86,80,52,47,63.0,86.0,80.0,62.0,69.0,182493,63.0,79.0,86.0,69.0,80.0,62.0,63.0,64.0,61.0,76.0,CB ,63.0,79.0,86.0,69.0,80.0,62.0,63.0,64.0,61.0,76.0,64.0
27,M. Hummels,28,https://cdn.sofifa.org/48/18/players/178603.png,Germany,https://cdn.sofifa.org/flags/21.png,88,88,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€48M,€215K,2038,62,66,64,58,77,91,64,65,68,55,53,15,6,10,5,6,89,89,68,85,51,85,68,56,85,80,71,90,65,66,92,85,79,60,71.0,85.0,83.0,69.0,77.0,178603,71.0,80.0,85.0,77.0,83.0,69.0,70.0,69.0,68.0,78.0,CB ,71.0,80.0,85.0,77.0,83.0,69.0,70.0,69.0,68.0,78.0,69.0
28,M. ?zil,28,https://cdn.sofifa.org/48/18/players/176635.png,Germany,https://cdn.sofifa.org/flags/21.png,88,88,Arsenal,https://cdn.sofifa.org/24/18/teams/1.png,€60M,€265K,1927,75,48,83,70,90,78,82,84,86,74,79,6,14,10,6,14,54,24,52,84,76,22,67,83,87,89,70,19,68,69,16,57,92,77,85.0,41.0,57.0,82.0,79.0,176635,85.0,52.0,41.0,79.0,57.0,82.0,83.0,76.0,83.0,58.0,RW CAM ,85.0,52.0,41.0,79.0,57.0,82.0,83.0,76.0,83.0,58.0,76.0
29,H. Lloris,30,https://cdn.sofifa.org/48/18/players/167948.png,France,https://cdn.sofifa.org/flags/18.png,88,88,Tottenham Hotspur,https://cdn.sofifa.org/24/18/teams/18.png,€38M,€165K,1318,65,31,55,54,34,61,13,11,10,10,10,88,86,68,82,90,10,27,74,50,14,12,40,10,85,50,23,18,63,41,10,43,30,11,,,,,,167948,,,,,,,,,,,GK ,,,,,,,,,,,
30,Thiago Silva,32,https://cdn.sofifa.org/48/18/players/164240.png,Brazil,https://cdn.sofifa.org/flags/54.png,88,88,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,€34M,€175K,2124,70,77,74,68,80,83,60,61,68,38,67,9,12,5,9,10,82,89,93,81,71,90,71,59,84,79,74,88,74,74,89,81,74,63,72.0,85.0,83.0,69.0,77.0,164240,72.0,81.0,85.0,77.0,83.0,69.0,70.0,67.0,68.0,79.0,CB ,72.0,81.0,85.0,77.0,83.0,69.0,70.0,67.0,68.0,79.0,67.0
31,Z. Ibrahimovi?,35,https://cdn.sofifa.org/48/18/players/41236.png,Sweden,https://cdn.sofifa.org/flags/46.png,88,88,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,€27M,€240K,2075,63,84,81,41,88,91,76,82,82,87,82,13,15,10,9,12,80,20,69,76,85,15,91,86,86,84,91,27,67,71,41,88,83,90,83.0,52.0,60.0,83.0,78.0,41236,83.0,54.0,52.0,78.0,60.0,83.0,80.0,84.0,82.0,58.0,ST ,83.0,54.0,52.0,78.0,60.0,83.0,80.0,84.0,82.0,58.0,84.0
32,A. Robben,33,https://cdn.sofifa.org/48/18/players/9014.png,Netherlands,https://cdn.sofifa.org/flags/34.png,88,88,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€36M,€225K,2081,87,47,89,91,89,86,80,87,92,85,81,10,8,11,5,15,51,39,61,71,88,29,80,85,87,84,87,26,86,68,26,67,83,86,86.0,47.0,59.0,86.0,78.0,9014,86.0,58.0,47.0,78.0,59.0,86.0,85.0,82.0,87.0,63.0,RW RM ,86.0,58.0,47.0,78.0,59.0,86.0,85.0,82.0,87.0,63.0,82.0
33,N. Kanté,26,https://cdn.sofifa.org/48/18/players/215914.png,France,https://cdn.sofifa.org/flags/18.png,87,90,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,€52.5M,€190K,2154,82,90,83,90,79,84,67,49,77,65,49,15,12,10,7,10,54,91,79,79,66,75,54,71,87,84,72,85,80,94,89,77,76,56,78.0,81.0,84.0,76.0,81.0,215914,78.0,82.0,81.0,81.0,84.0,76.0,78.0,72.0,76.0,83.0,CM CDM ,78.0,82.0,81.0,81.0,84.0,76.0,78.0,72.0,76.0,83.0,72.0
34,M. Verratti,24,https://cdn.sofifa.org/48/18/players/199556.png,Italy,https://cdn.sofifa.org/flags/27.png,87,91,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,€64.5M,€130K,2154,69,89,87,94,88,91,72,73,90,58,64,12,12,15,15,10,55,86,64,89,58,76,64,71,87,90,56,79,62,77,84,56,88,64,82.0,77.0,84.0,77.0,85.0,199556,82.0,79.0,77.0,85.0,84.0,77.0,80.0,69.0,78.0,80.0,CDM CM ,82.0,79.0,77.0,85.0,84.0,77.0,80.0,69.0,78.0,80.0,69.0
35,P. Pogba,24,https://cdn.sofifa.org/48/18/players/195864.png,France,https://cdn.sofifa.org/flags/18.png,87,92,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,€66.5M,€195K,2238,72,75,76,61,89,85,78,84,86,71,82,5,6,2,4,3,73,68,85,88,82,66,76,83,84,86,90,66,76,91,68,91,86,85,84.0,74.0,79.0,83.0,84.0,195864,84.0,75.0,74.0,84.0,79.0,83.0,83.0,81.0,82.0,77.0,CDM CM ,84.0,75.0,74.0,84.0,79.0,83.0,83.0,81.0,82.0,77.0,81.0
36,C. Eriksen,25,https://cdn.sofifa.org/48/18/players/190460.png,Denmark,https://cdn.sofifa.org/flags/13.png,87,91,Tottenham Hotspur,https://cdn.sofifa.org/24/18/teams/18.png,€65M,€165K,2064,77,44,78,82,87,87,86,85,84,76,87,9,14,7,7,6,52,55,57,86,84,38,67,81,83,89,80,22,74,90,56,57,90,74,85.0,53.0,68.0,82.0,83.0,190460,85.0,64.0,53.0,83.0,68.0,82.0,84.0,77.0,83.0,69.0,LM RM CAM ,85.0,64.0,53.0,83.0,68.0,82.0,84.0,77.0,83.0,69.0,77.0
37,A. Vidal,30,https://cdn.sofifa.org/48/18/players/181872.png,Chile,https://cdn.sofifa.org/flags/55.png,87,87,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€37.5M,€160K,2278,76,93,75,77,83,86,76,76,76,77,68,4,2,4,2,4,81,85,82,82,85,76,81,80,89,84,86,85,74,91,89,77,80,78,81.0,84.0,85.0,81.0,83.0,181872,81.0,83.0,84.0,83.0,85.0,81.0,80.0,81.0,80.0,83.0,CM CDM ,81.0,83.0,84.0,83.0,85.0,81.0,80.0,81.0,80.0,83.0,81.0
38,E. Cavani,30,https://cdn.sofifa.org/48/18/players/179813.png,Uruguay,https://cdn.sofifa.org/flags/60.png,87,87,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,€48.5M,€160K,2097,75,84,81,59,80,83,70,75,80,83,74,12,5,13,13,10,88,48,88,50,78,24,84,92,91,78,85,27,78,92,45,74,77,84,80.0,58.0,62.0,82.0,74.0,179813,80.0,61.0,58.0,74.0,62.0,82.0,79.0,84.0,80.0,64.0,ST ,80.0,61.0,58.0,74.0,62.0,82.0,79.0,84.0,80.0,64.0,84.0
39,Marcelo,29,https://cdn.sofifa.org/48/18/players/176676.png,Brazil,https://cdn.sofifa.org/flags/54.png,87,87,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€38M,€250K,2209,77,84,77,82,88,85,90,80,84,67,67,12,5,5,5,9,71,83,77,76,66,80,59,75,87,82,83,87,79,81,85,77,75,54,79.0,82.0,82.0,79.0,80.0,176676,79.0,84.0,82.0,80.0,82.0,79.0,81.0,77.0,80.0,84.0,LB ,79.0,84.0,82.0,80.0,82.0,79.0,81.0,77.0,80.0,84.0,77.0
40,M. Ham?ík,29,https://cdn.sofifa.org/48/18/players/171877.png,Slovakia,https://cdn.sofifa.org/flags/43.png,87,87,Napoli,https://cdn.sofifa.org/24/18/teams/48.png,€48.5M,€130K,2184,72,56,76,66,87,84,78,80,86,78,72,8,6,4,14,14,74,72,71,82,83,60,70,88,88,88,82,62,75,85,73,69,86,79,85.0,71.0,77.0,84.0,85.0,171877,85.0,75.0,71.0,85.0,77.0,84.0,83.0,81.0,83.0,77.0,CM ,85.0,75.0,71.0,85.0,77.0,84.0,83.0,81.0,83.0,77.0,81.0
41,I. Rakiti?,29,https://cdn.sofifa.org/48/18/players/168651.png,Croatia,https://cdn.sofifa.org/flags/10.png,87,87,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,€48.5M,€275K,2129,67,67,72,66,87,81,81,88,84,83,84,14,11,12,5,9,58,69,44,92,88,52,78,80,79,87,84,53,64,76,65,63,87,80,83.0,64.0,74.0,82.0,84.0,168651,83.0,69.0,64.0,84.0,74.0,82.0,82.0,78.0,81.0,72.0,CM ,83.0,69.0,64.0,84.0,74.0,82.0,82.0,78.0,81.0,72.0,78.0
42,David Silva,31,https://cdn.sofifa.org/48/18/players/168542.png,Spain,https://cdn.sofifa.org/flags/45.png,87,87,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,€44M,€220K,1977,72,51,92,89,90,92,83,82,84,71,75,1,1,1,1,1,54,43,66,79,73,25,73,81,84,91,71,29,65,78,44,56,92,79,84.0,50.0,64.0,81.0,81.0,168542,84.0,59.0,50.0,81.0,64.0,81.0,82.0,75.0,82.0,65.0,LM CM CAM ,84.0,59.0,50.0,81.0,64.0,81.0,82.0,75.0,82.0,65.0,75.0
43,S. Handanovi?,32,https://cdn.sofifa.org/48/18/players/162835.png,Slovenia,https://cdn.sofifa.org/flags/44.png,87,87,Inter,https://cdn.sofifa.org/24/18/teams/44.png,€29M,€91K,1264,54,25,42,36,24,62,12,12,18,10,14,87,86,69,87,87,10,22,78,34,19,17,23,12,83,36,22,13,57,41,10,71,41,12,,,,,,162835,,,,,,,,,,,GK ,,,,,,,,,,,
44,Piqué,30,https://cdn.sofifa.org/48/18/players/152729.png,Spain,https://cdn.sofifa.org/flags/45.png,87,87,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,€37.5M,€240K,1974,55,72,58,42,78,86,57,58,59,64,43,10,11,14,15,8,83,88,74,80,51,86,69,58,84,81,62,86,73,66,87,83,62,57,68.0,84.0,81.0,68.0,74.0,152729,68.0,78.0,84.0,74.0,81.0,68.0,68.0,69.0,66.0,76.0,CB ,68.0,78.0,84.0,74.0,81.0,68.0,68.0,69.0,66.0,76.0,69.0
45,Iniesta,33,https://cdn.sofifa.org/48/18/players/41.png,Spain,https://cdn.sofifa.org/flags/45.png,87,87,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,€29.5M,€260K,2073,72,58,79,84,94,89,77,80,90,70,70,6,13,6,13,7,54,66,52,86,71,57,71,84,88,92,65,56,71,58,57,58,94,74,87.0,63.0,74.0,83.0,84.0,41,87.0,69.0,63.0,84.0,74.0,83.0,84.0,76.0,84.0,72.0,LM CM ,87.0,69.0,63.0,84.0,74.0,83.0,84.0,76.0,84.0,72.0,76.0
46,H. Kane,23,https://cdn.sofifa.org/48/18/players/202126.png,England,https://cdn.sofifa.org/flags/14.png,86,90,Tottenham Hotspur,https://cdn.sofifa.org/24/18/teams/18.png,€59M,€165K,2057,68,74,73,62,82,84,70,71,78,90,66,8,10,11,14,11,83,35,70,67,84,41,84,89,87,75,87,38,74,85,36,86,75,73,79.0,57.0,62.0,82.0,74.0,202126,79.0,60.0,57.0,74.0,62.0,82.0,78.0,84.0,79.0,62.0,ST ,79.0,60.0,57.0,74.0,62.0,82.0,78.0,84.0,79.0,62.0,84.0
47,J. Rodríguez,25,https://cdn.sofifa.org/48/18/players/198710.png,Colombia,https://cdn.sofifa.org/flags/56.png,86,89,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€56M,€250K,2118,77,65,82,75,85,87,88,87,83,82,86,15,15,15,5,14,62,55,54,80,91,25,81,80,84,84,86,30,75,68,42,70,86,91,83.0,53.0,64.0,83.0,79.0,198710,83.0,61.0,53.0,79.0,64.0,83.0,82.0,80.0,83.0,65.0,RM CM CAM ,83.0,61.0,53.0,79.0,64.0,83.0,82.0,80.0,83.0,65.0,80.0
